Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.2,80,192.168.20.3,42624,6,2021-08-09 22:31:49,8026.0,2,0,614,0,548.0,66.0,307.0,241.0,0.0,0.0,0.0,0.0,76501.37054572639,249.19013207077,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,249.19013207077,0.0,66,548,307.0,241.0,58081.0,1,0,0,0,0,0,0,0.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,501,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,42626,6,2021-08-09 22:32:06,0.0,1,0,66,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0,0,66,66,66.0,0.0,0.0,1,0,0,0,0,0,0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,501,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.20.3,43808,192.168.1.2,80,6,2021-08-09 22:31:41,29782350.0,6,5,827,370,465.0,66.0,137.83333333333334,146.34253957373053,74.0,74.0,74.0,0.0,40.19158998534367,0.36934627388369284,2978235.0,2606617.0034950282,8904862.0,7834.000000000001,29782350.0,5956470.0,4006398.0220701485,9640580.0,7834.000000000001,21766198.0,5441549.5,4713558.504658689,13152958.0,1340863.0,0,0,0,0,120,100,0.20146160393655974,0.1678846699471331,66,465,108.81818181818181,112.65782318137938,12691.785123966944,1,0,0,0,0,0,0,0.8333333333333334,108.81818181818181,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,20,3689355.0,2839002.4212241643,7010860.0,75245.0,3339156.75,1475945.226752398,4656766.0,892147.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43528,6,2021-08-09 22:31:45,25453022.0,5,7,328,1538,74.0,60.0,65.6,6.858571279792899,422.0,66.0,219.71428571428572,175.20413749657388,73.31153055224641,0.47145678811734026,2313911.090909091,1424498.99451373,4484496.0,4308.0,19820484.0,4955121.0,2866471.662850603,7400085.0,230410.0,24285374.0,4047562.3333333335,2632383.83481555,7108050.0,4308.0,0,0,0,0,100,140,0.1964403283822251,0.2750164597351151,60,422,155.5,153.94398331860847,23698.75,1,0,0,0,0,0,0,1.4,155.5,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,3,20,2098508.5,216295.5,2314804.0,1882213.0,1326890.0,901954.5533397641,3090293.0,309964.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43536,6,2021-08-09 22:31:46,26360332.0,8,6,536,1295,74.0,60.0,67.0,7.0,363.0,66.0,215.83333333333334,147.1908247442377,69.46043016453662,0.5311010498653811,2027717.8461538462,1302996.6039875955,4016682.0000000005,67976.0,26360332.0,3765761.714285714,2709684.8448312064,7337960.0,257365.0,21589707.0,4317941.4,2785828.218314661,7339792.0,67976.0,0,0,0,0,160,120,0.3034863142087892,0.22761473565659188,60,363,130.78571428571428,121.39968143723124,14737.882653061226,1,0,0,0,0,0,0,0.75,130.78571428571428,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,4,20,1448225.5,1395419.5,2843645.0,52806.0,1341313.2,737689.1029850991,2037764.0000000002,282270.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43534,6,2021-08-09 22:31:45,27464758.0,8,6,536,1361,74.0,60.0,67.0,7.0,385.0,66.0,226.83333333333334,158.18914487269836,69.07033369818879,0.5097441601342346,2112673.6923076925,1313212.2507660007,4071543.0,44264.0,27464758.0,3923536.8571428573,2945811.7015628153,8175307.0,147622.0,21564859.0,4312971.8,2778236.5692588813,7091696.0,44264.0,0,0,0,0,160,120,0.2912823772195626,0.21846178291467197,60,385,135.5,130.41787235103718,17008.821428571428,1,0,0,0,0,0,0,0.75,135.5,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,4,20,1023029.3333333334,1205897.3323475297,2723205.0,57466.0,1382100.8,736801.3192375269,2070526.0,110389.0,NeedManualLabel
192.168.20.3,44440,192.168.1.2,80,6,2021-08-09 22:31:48,24303696.0,4,4,296,296,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,24.358435029799583,0.32916804094323765,3471956.5714285714,3048586.8667454463,7615495.0,133904.0,24303696.0,8101232.0,1381979.814273952,9313322.0,6167433.0,9566604.0,3188868.0,3137141.843506283,7615495.0,718225.0,0,0,0,0,80,80,0.16458402047161882,0.16458402047161882,74,74,74.0,0.0,0.0,1,0,0,0,0,0,0,1.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,0,20,5493060.5,889550.5,6382611.0,4603510.0,5997285.666666667,165597.49571442464,6167433.0,5772852.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43532,6,2021-08-09 22:31:45,27420613.0,6,7,388,1667,74.0,60.0,64.66666666666667,6.599663291074444,465.0,66.0,238.14285714285714,196.48149936275613,74.94361996940039,0.47409589275046476,2285051.0833333335,1347341.427735342,4342324.0,51855.0,27420613.0,5484122.6,2793714.5377678517,7648979.0,124971.0,24401939.0,4066989.8333333335,2592599.403897011,6988121.0,51855.0,0,0,0,0,120,140,0.21881348896175298,0.2552824037887118,60,465,158.07692307692307,168.18554842264197,28286.378698224846,1,0,0,0,0,0,0,1.1666666666666667,158.07692307692307,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,4,20,1884719.6666666667,121188.64525560496,2032627.9999999998,1735783.0,1084965.142857143,863327.2150805242,2681173.0,29280.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43530,6,2021-08-09 22:31:45,27464570.0,6,6,388,1472,74.0,60.0,64.66666666666667,6.599663291074444,422.0,66.0,245.33333333333334,176.68679130660058,67.723616280903,0.4369265566509871,2496779.090909091,1501221.483844918,4481734.0,0.0,27464570.0,5492914.0,2863867.4792851014,7651292.0,0.0,22417531.0,4483506.2,2665194.094954092,7068387.0,9833.0,0,0,0,0,120,120,0.21846327832549356,0.21846327832549356,60,422,155.0,154.2433142797444,23791.0,1,0,0,0,0,0,0,1.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,4,20,1981790.5,101329.5,2083120.0,1880461.0,1120915.142857143,874104.9812796154,2856484.0,114358.0,NeedManualLabel
192.168.20.3,44306,192.168.1.2,80,6,2021-08-09 22:31:46,27422219.0,4,5,296,370,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,24.286874814908305,0.3282010110122744,3427777.375,3014380.1629029363,9263790.0,205625.0,25008340.0,8336113.333333333,805260.0100979117,9469415.0,7672581.0,21241236.0,5310309.0,4205635.079724642,10755388.0,866629.0,0,0,0,0,80,100,0.1458671160054553,0.18233389500681912,74,74,74.0,0.0,0.0,1,0,0,0,0,0,0,1.25,74.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,0,20,6186283.0,1496898.0,7683181.0,4689385.0,5999099.0,1527402.5497156929,7772192.0,4044122.0,NeedManualLabel
